Date,Open,High,Low,Close,Volume,Adj Close
2010-12-03,44.14,45.03,44.01,44.62,1003200,44.62
2010-12-02,43.01,44.30,42.74,44.18,1253600,44.18
2010-12-01,42.30,42.90,42.19,42.85,936600,42.85
2010-11-30,42.33,42.44,41.64,42.05,1217900,42.05
2010-11-29,43.40,44.16,42.40,42.42,1268300,42.42
2010-11-26,43.26,43.60,42.52,43.42,615600,43.42
2010-11-25,43.35,43.77,43.14,43.62,462700,43.62
2010-11-24,43.17,43.69,42.51,43.26,948200,43.26
2010-11-23,43.65,44.17,43.17,43.19,1372700,43.19
2010-11-22,45.80,45.81,44.67,44.74,731000,44.74
2010-11-19,44.90,45.53,44.62,45.39,1021300,45.39
2010-11-18,43.90,44.78,43.90,44.78,986900,44.78
2010-11-17,42.70,43.71,42.64,43.56,915400,43.56
2010-11-16,43.75,43.75,42.75,42.80,1001200,42.80
2010-11-15,43.75,44.21,43.24,44.08,1020500,44.08
2010-11-12,44.17,44.41,43.55,44.06,1217800,44.06
2010-11-11,45.67,45.78,44.32,44.71,1066700,44.71
2010-11-10,45.58,46.19,45.24,45.49,1258500,45.49
2010-11-09,44.90,46.49,44.76,46.14,2113200,46.14
2010-11-08,44.50,45.24,44.19,44.66,939800,44.66
2010-11-05,44.18,45.94,44.00,44.53,2677900,44.53
2010-11-04,43.37,45.24,43.37,45.24,3526400,45.24
2010-11-03,41.93,43.31,41.62,42.79,2735800,42.79
2010-11-02,41.30,41.62,40.90,41.46,1015300,41.46
2010-11-01,41.29,41.69,40.89,41.53,784000,41.53
2010-10-29,41.44,41.72,41.06,41.06,982700,41.06
2010-10-28,41.85,41.90,41.10,41.50,713100,41.50
2010-10-27,41.58,42.22,41.26,41.60,916200,41.60
2010-10-26,42.38,42.45,41.30,41.65,1209500,41.65
2010-10-25,42.51,42.74,42.25,42.45,730700,42.45
2010-10-22,42.95,42.95,42.28,42.33,818600,42.33
2010-10-21,42.50,42.98,42.32,42.98,1204400,42.98
2010-10-20,41.90,42.62,41.73,42.62,706300,42.62
2010-10-19,41.64,42.55,41.47,42.10,1663400,42.10
2010-10-18,41.69,41.76,41.30,41.47,830000,41.47
2010-10-15,41.94,42.03,41.60,41.82,1058400,41.82
2010-10-14,41.61,42.06,41.40,41.69,1173500,41.69
2010-10-13,40.94,41.78,40.85,41.78,1072700,41.78
2010-10-12,40.80,40.92,40.30,40.58,966200,40.58
2010-10-11,41.07,41.35,40.74,40.99,1056000,40.99
